날짜,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-08-19,56,38,0.053,0.045,0.6,0.005
2016-08-20,34,21,0.049,0.027,0.5,0.003
2016-08-21,27,15,0.056,0.017,0.4,0.003
2016-08-22,29,17,0.037,0.024,0.4,0.003
2016-08-23,30,19,0.039,0.029,0.4,0.004
2016-08-24,31,18,0.033,0.028,0.4,0.005
2016-08-25,24,13,0.031,0.024,0.4,0.004
2016-08-26,14,5,0.033,0.017,0.3,0.003
2016-08-27,11,3,0.032,0.017,0.3,0.003
2016-08-28,9,3,0.028,0.011,0.3,0.003
2016-08-29,13,5,0.024,0.017,0.3,0.003
2016-08-30,22,7,0.026,0.015,0.3,0.003
2016-08-31,17,6,0.021,0.018,0.3,0.004
2016-09-01,51,27,0.054,0.024,0.6,0.004
2016-09-02,29,18,0.048,0.021,0.4,0.003
2016-09-03,18,10,0.039,0.024,0.5,0.003
2016-09-04,23,13,0.024,0.026,0.5,0.003
2016-09-05,27,14,0.028,0.026,0.5,0.003
2016-09-06,51,31,0.037,0.027,0.5,0.005
2016-09-07,69,43,0.036,0.03,0.6,0.004
2016-09-08,43,25,0.029,0.036,0.6,0.005
2016-09-09,41,25,0.03,0.036,0.6,0.003
2016-09-10,42,25,0.039,0.034,0.6,0.003
2016-09-11,36,24,0.052,0.02,0.5,0.003
2016-09-12,30,18,0.022,0.032,0.5,0.003
2016-09-13,19,9,0.028,0.029,0.4,0.003
2016-09-14,35,21,0.039,0.025,0.5,0.004
2016-09-15,34,23,0.037,0.021,0.5,0.004
2016-09-16,45,30,0.042,0.023,0.6,0.008
2016-09-17,29,16,0.041,0.016,0.4,0.003
2016-09-18,21,11,0.037,0.015,0.3,0.002
2016-09-19,11,3,0.029,0.017,0.3,0.002
2016-09-20,14,7,0.03,0.02,0.3,0.003
2016-09-21,28,18,0.028,0.029,0.4,0.003
2016-09-22,35,22,0.032,0.03,0.4,0.003
